1,129,76714,278,392,89,227
1,131,76714,935,379,81,211
1,132,76714,1374,304,88,217
1,133,76714,1412,424,94,241
1,134,76714,1426,459,91,225
2,130,76714,618,264,75,200
2,131,76714,98,276,78,192
1,129,76715,271,396,90,224
1,131,76715,939,378,81,209
1,132,76715,1367,303,88,218
1,133,76715,1407,424,96,247
1,134,76715,1423,459,92,227
2,130,76715,621,265,73,198
2,131,76715,99,273,79,194
1,129,76716,269,397,90,225
1,131,76716,941,379,84,213
1,132,76716,1368,307,86,222
1,133,76716,1407,423,98,240
1,134,76716,1422,453,90,227
2,130,76716,627,262,75,195
2,131,76716,105,276,74,196
1,129,76717,266,395,91,224
1,131,76717,948,377,82,212
1,132,76717,1361,305,88,221
1,133,76717,1399,426,95,244
1,134,76717,1418,459,89,229
2,130,76717,628,262,73,194
2,131,76717,107,277,77,193
1,129,76718,267,396,92,225
1,131,76718,948,380,80,212
1,132,76718,1367,303,83,219
1,133,76718,1400,423,94,241
1,134,76718,1416,460,90,225
2,130,76718,633,264,72,197
2,131,76718,110,276,75,197
1,129,76719,266,397,83,224
1,131,76719,949,376,81,210
1,132,76719,1359,303,84,218
1,133,76719,1398,424,96,241
1,134,76719,1418,459,90,226
2,130,76719,634,264,72,193
2,131,76719,110,275,75,192
1,129,76720,261,400,90,222
1,131,76720,953,377,82,208
1,132,76720,1358,302,88,223
1,133,76720,1394,424,103,240
1,134,76720,1411,461,90,229
2,130,76720,638,264,74,196
2,131,76720,116,275,76,192
1,129,76721,259,400,88,226
1,131,76721,957,378,79,209
1,132,76721,1357,302,86,219
1,133,76721,1393,425,93,239
1,134,76721,1408,455,90,229
2,130,76721,638,258,72,193
2,131,76721,120,275,77,193
1,129,76722,259,398,84,224
1,131,76722,958,380,80,210
1,132,76722,1353,302,91,220
1,133,76722,1391,425,94,241
1,134,76722,1405,456,93,226
2,130,76722,647,262,75,193
2,131,76722,122,275,76,192
1,129,76723,256,400,89,225
1,131,76723,961,377,85,210
1,132,76723,1353,305,90,216
1,133,76723,1388,420,94,240
1,134,76723,1403,460,93,229
2,130,76723,647,261,75,197
2,131,76723,125,279,74,193
1,129,76724,251,396,88,224
1,131,76724,966,378,81,209
1,132,76724,1350,305,85,222
1,133,76724,1385,427,93,244
1,134,76724,1404,458,88,228
2,130,76724,650,260,73,198
2,131,76724,126,275,72,191
1,129,76725,248,396,91,227
1,131,76725,964,379,81,208
1,132,76725,1345,303,87,223
1,133,76725,1385,426,90,242
1,134,76725,1397,459,89,228
2,130,76725,650,262,77,195
2,131,76725,134,275,77,191
1,129,76726,246,400,88,224
1,131,76726,966,377,82,209
1,132,76726,1343,306,89,223
1,133,76726,1381,423,97,240
1,134,76726,1399,459,89,228
2,130,76726,655,259,77,196
2,131,76726,138,276,74,191
1,129,76727,241,393,91,223
1,131,76727,970,377,81,208
1,132,76727,1339,309,83,220
1,133,76727,1378,424,96,239
1,134,76727,1392,460,85,230
2,130,76727,658,262,75,196
2,131,76727,138,274,75,192
1,129,76728,246,399,88,227
1,131,76728,973,375,83,210
1,132,76728,1342,306,86,221
1,133,76728,1378,423,95,241
1,134,76728,1387,463,90,228
2,130,76728,659,264,74,199
2,131,76728,143,272,75,193
1,129,76729,241,397,88,224
1,131,76729,981,380,85,212
1,132,76729,1342,303,86,220
1,133,76729,1373,426,97,240
1,134,76729,1392,464,90,228
2,130,76729,660,263,75,194
2,131,76729,143,273,75,193
1,129,76730,238,395,89,220
1,131,76730,974,379,81,214
1,132,76730,1334,307,90,218
1,133,76730,1366,429,96,243
1,134,76730,1384,460,87,229
2,130,76730,662,258,77,198
2,131,76730,148,276,78,191
1,129,76731,237,398,86,226
1,131,76731,984,374,82,213
1,132,76731,1334,302,86,219
1,133,76731,1369,424,93,242
1,134,76731,1382,459,91,228
2,130,76731,670,267,75,197
2,131,76731,149,276,78,193
1,129,76732,234,398,87,224
1,131,76732,986,375,83,210
1,132,76732,1332,305,87,220
1,133,76732,1363,424,93,242
1,134,76732,1383,456,89,227
2,130,76732,672,265,76,196
2,131,76732,154,278,78,192
